Time,Lat,Lon,Depth,Mw,Mo,FocalMechanism,Width,Length,AspectRatio,Strike,Dip,Rake,RuptureVelocity,RuptureTime,StressDrop,Heterogeneity,Young,Poisson
734970,2.3484,93.0725,23,8.65,1.2251029e+22,StikeSlip,41.0120283094563,254.303977948875,6.20071692211915,108.34,86.98,169.94,1.46,6.18,60,348.789770280882,118716750130.843,0.284680397883331
733297,-4.517,101.382,30,8.44,6.0391478e+21,Reverse,201.877649788437,259.473841135276,1.28530246615808,320,15,114,2.21,8.11,5,1.04857719940542,172047389584.776,0.279614601032487
731025,-16.26,-73.64,33,8.38,4.8607351e+21,Reverse,193.088651306348,226.329288173673,1.17215220388373,309.99,17.53,62.6,2.05,6.8,2.2,1.27792609280379,144570329489.601,0.276787991275869
728571,43.71,147.33,48,8.32,4.0375501e+21,StikeSlip,122.468606619479,150.152037740321,1.22604512197038,158,41,24.04,2.21,4.6,14,8.1699864460825,172314616165.572,0.27952031615098
732996,46.51,153.39,15.25,8.29,3.5498175e+21,Reverse,97.9613284406483,280.860385650963,2.86705366415205,220,16,92.49,2.01,7.54,2.5,4.89004328415661,89667553770.957,0.278335750856255
731849,41.81,143.91,27,8.24,3.0654916e+21,Reverse,163.870788515775,200.150469537439,1.22139199640314,240,17,132.36,2.02,4.85,4.8,0.885119614880079,156740235788.199,0.278122707337802
736223,-31.5952,-71.6728,29,8.23,2.9107715e+21,Reverse,117.037511654275,188.22270375687,1.60822544068498,6,19,105,1.47,5.55,3.3,3.40630734404381,95922313088.8535,0.30549814513867
736946,15.0286,-93.807,70,8.19,2.5437013e+21,Normal,71.2842837153096,127.469805855563,1.78818947476057,315,73,264,1.97,4.74,14,7.09157643750325,172821445288.877,0.279487037997594
733055,46.24,154.52,7.5,8.18,2.4261536e+21,Normal,50.6646981354625,162.081744091745,3.19910608484011,220,39,254,2.41,4.27,9.9,4.68682985888359,127342160646.548,0.290461394436428
729072,-0.946,136.941,20,8.14,2.1736949e+21,Reverse,118.527845586494,195.75055346432,1.65151532532897,109,17,69,2.38,5.34,4.6,2.52670029977564,112128329443.814,0.276563761596477
729839,-62.88,149.53,10,8.08,1.7240405e+21,Oblique,17.8166208794688,236.348162328981,13.265599797397,99,74,-18,3.4,4.69,52,46.1604107901849,103729694258.504,0.290953144683549
732304,-49.31,161.35,10,8.08,1.7100321e+21,StikeSlip,23.4113828363656,166.45363630916,7.10994465694706,163,69,16.31,1.89,4.01,25,67.5652325212493,81983872909.9857,0.308988920283755
730806,-3.98,152.17,33,8.07,1.6563562e+21,StikeSlip,33.0632140058815,152.178720167419,4.60265962469192,328.02,65,3.19,1.76,5.37,20,6.80570491645855,172821445288.877,0.279487037997594
734045,-15.6,-172.3,18,8.06,1.6319659e+21,Normal,34.2947661665109,128.872341876102,3.75778453337135,342.45,57.06,290.16,1.54,3.62,70,20.2276728229273,141506841562.232,0.280830177952414
735271,-10.7377,165.1378,28.7,8.03,1.4506814e+21,Reverse,125.866658929437,212.726611270861,1.69009500276097,308,18,62,1.56,4.81,2.9,0.615512390542824,163313471943.793,0.279812683215698
732800,-20.19,-174.12,65,7.95,1.1232917e+21,Reverse,85.4207176143148,82.4059482489018,0.964706812941738,221,22.04,122.98,2.01,3.64,7.8,0.351612371391497,172821445288.877,0.279487037997594
735773,51.83,178.75,109,7.91,9.7612555e+20,Normal,66.5610398049385,84.7060742153634,1.27260743617588,309,84,243,1.49,3.78,13,1.6629702130503,172821445288.877,0.279487037997594
735555,-60.2961,-46.362,12,7.89,8.9435565e+20,StikeSlip,44.1940152834853,281.68745699498,6.37388241797172,100,50,0,2.25,6.4,7.2,1.01212549631795,129139221548.996,0.287958962183203
736717,-6.2669,155.1189,136,7.88,8.7886363e+20,Reverse,43.5319450161821,49.4506575256942,1.13596250999839,135,55,100,2,2.42,26,0.374959422512138,172821445288.877,0.279487037997594
737083,56.046,-149.073,25,7.88,8.8156317e+20,StikeSlip,18.6608528703869,174.444678799174,9.34816216658574,258,69,4,2.13,3.91,20,4.77988482820875,96751961900.4622,0.298078871121607
728996,44.62,149.32,24,7.86,8.2000641e+20,Reverse,161.86040292786,153.1934755685,0.946454307523118,227,12,95,2.44,5.17,1.2,0.228433202429185,103368800645.002,0.286463062594098
729186,51.56,-177.63,28,7.86,8.1305019e+20,Reverse,134.906480730713,156.815671267265,1.16240280242937,265,15,84,1.62,4.76,0.7,0.188607581099422,79076699280.1595,0.295408168583132
730655,-13.8,97.45,10,7.86,8.0369288e+20,StikeSlip,9.77143025075435,91.4573194174664,9.35966558328613,161.3,63.48,354.5,1.99,2.63,104,69.240521219448,85973085807.3462,0.296852747419203
733297,-2.62,100.84,35,7.86,8.1238186e+20,Reverse,65.0940539935193,111.441875201939,1.7120131312306,317.29,25,101.85,2.27,4.15,6.7,0.199426661222459,165482259183.01,0.278896650077159
730641,-4.72,102.09,41.2,7.84,7.6472875e+20,StikeSlip,50.9999681957453,114.966300947385,2.25424260082138,198.88,59,37.96,1.77,2.98,16,1.40530074147374,172821445288.877,0.279487037997594
731169,35.95,90.54,10,7.84,7.4493991e+20,StikeSlip,28.5146166342482,357.678866344732,12.5437024432982,94.41,72,348.41,3.51,12.41,13,3.18600378235268,86956447859.6556,0.244466293832987
733385,-26,-177.51,152.5,7.83,7.2292271e+20,StikeSlip,90.7832951371964,106.888452342768,1.17740221018892,12,9,37.76,2.49,2.83,6.6,0.0748099020506405,172821445288.877,0.279487037997594
735170,52.742,-132.131,15,7.83,7.3267351e+20,Reverse,48.9882212292693,214.223636385747,4.3729621327372,323,30,120,1.86,3.97,4.6,1.68929666948111,97339325626.7932,0.26901342469068
736079,28.13,84.65,15,7.82,7.1023654e+20,Reverse,108.213271286893,125.253668168391,1.15747049025365,293,7,108,2.4,3.08,2.1,0.745301506434293,83508564010.143,0.242788753968348
736436,0.3482,-79.972,20,7.82,7.0633008e+20,Reverse,122.372261247957,146.082620686098,1.19375599663144,29,15,118,2.29,3.04,2.4,0.430972554337765,115086222619.087,0.273517035673407
729025,0.72,119.98,16,7.82,7.0023776e+20,Reverse,78.9937700998004,104.738350981681,1.32590647147686,53,7,54,2.61,2.65,3.9,0.611890979406823,98509950893.885,0.270167481648401
733969,-45.76,166.56,12,7.82,7.0639667e+20,StikeSlip,46.397525357333,78.6601320772378,1.69535188507216,29,26,137.81,1.75,4.28,15,9.68211076804261,104712749665.71,0.271651498446573
734234,2.36,97.132,31,7.81,6.8406583e+20,Reverse,143.475896405748,132.74559023715,0.925211785133209,312.7,12.04,91.74,2.14,4.42,3.6,0.0926918646188804,148040207548.209,0.277853009111114
736893,54.4673,168.8587,12,7.8,6.6668233e+20,StikeSlip,59.2679131311992,283.171954896317,4.7778290129681,307,72,174,2.44,6.57,3.6,0.372866901032837,154221267125.265,0.282832268780702
736672,-10.6741,161.3351,41,7.79,6.3605141e+20,Reverse,58.0507231532963,54.0180838328122,0.930532487772203,290,50,67,2.2,2.03,10,1.33711787229657,158921290723.948,0.27847063708724
735692,-20.518,-70.505,32,7.78,6.2599773e+20,Reverse,112.373783324229,113.298377436938,1.00822784536889,355,18,95.24,2.09,4.21,3.1,0.0753927316409442,172821445288.877,0.279487037997594
736391,-4.905,94.236,24,7.77,6.0159401e+20,StikeSlip,25.2143881369033,68.8408137241838,2.73021948224196,274,84,164,1.29,3.83,12,2.5416627194696,82884630669.5999,0.309975612949579
730806,-5.23,153.1,30,7.76,5.8280006e+20,Reverse,91.2343275234098,102.429104142834,1.12270355822541,252.49,14.84,92.62,2.03,4.12,3.1,0.267372594041979,162005800757.648,0.278777258092157
734436,-3.464,100.084,15,7.76,5.6676184e+20,Reverse,111.84855015103,173.304241088134,1.54945451554017,325,11.62,100,1.49,5.12,1,0.272380051349965,116008724976.315,0.273683964089024
729729,54.841,162.035,34,7.75,5.5183332e+20,Reverse,102.54530243907,131.943306491921,1.28668308887498,202,23,74,2.34,3.74,1.4,0.111423893790485,170842841250.234,0.279550711252613
728149,12.994,144.752,59,7.74,5.2796836e+20,StikeSlip,66.8090411363575,87.0372176303183,1.30277603375081,312,24,147,1.24,3.51,5.3,0.0292704334865835,172821445288.876,0.279487037997594
728447,-10.477,112.835,20,7.74,5.3889114e+20,Reverse,101.161176419127,90.7637325089834,0.897219029293756,278,7,89,1.2,6.59,2,0.0840025516012299,167397358422.284,0.279849964093984
732476,-20.01,-69.24,108,7.74,5.399882e+20,Normal,43.9562794466242,59.0542481905538,1.34347694877732,175,15,270,3.11,2.13,16,1.41434923834053,172821445288.877,0.279487037997594
735340,27.86,62.15,60,7.73,5.2373565e+20,Normal,69.0416108668914,80.6406018415105,1.16800000505465,232,61.7,250,2.07,3.14,6.5,0.281294649574766,154173823565.258,0.276724403775882
727910,-8.51,121.89,28,7.73,5.1449486e+20,Reverse,62.551664800983,152.661894754534,2.44057284870434,88,34,95,2.39,3.09,2.7,0.696376188345295,94598897375.7458,0.26873004852719
731902,51.15,178.65,30,7.73,5.2577996e+20,Reverse,122.231634891241,114.537408458265,0.93705208606739,280.39,18.82,121.89,2.28,3.66,1.2,0.272379028818356,137262414510.591,0.277776679507782
728656,40.45,143.49,26,7.72,4.9239425e+20,Reverse,92.7711003484391,101.774329058331,1.09704777324055,183,15,67,2.55,4.31,3.7,0.108517305719705,160774202769.038,0.278691686774427
730807,-5.5,151.78,33,7.72,5.0791017e+20,Reverse,74.1426196828195,107.55169175485,1.45060549809211,240,32,64.1,1.89,4.07,3.4,0.487144832830799,119889873512.78,0.268105614238669
735701,-11.3149,162.2114,29.3,7.71,4.7974282e+20,StikeSlip,69.179306409582,100.386205192232,1.45110164299548,115.8,69,24.05,1.6,3.02,7.2,0.37344789618538,117171091166.478,0.284850695457009
736540,18.5153,145.5293,212.4,7.7,4.5978902e+20,Reverse,44.7358619097966,47.3382490058605,1.05817228024602,326,65,68,1.73,2.19,19,0.0683543215352211,189269066994.94,0.289246858357734
728887,-5.786,154.181,30,7.7,4.59201e+20,StikeSlip,77.6625785264549,111.151951050913,1.43121633558755,320,39,9,2.19,4.25,4.8,0.573741872652393,148569376781.646,0.277636374630236
729341,-14.973,-75.57,21,7.7,4.6131942e+20,Reverse,72.3661203673855,159.185592964284,2.1997253985171,312,33,55,1.97,3.77,2.8,0.307794308640947,130420098224.088,0.275749311514641
730864,13.05,-88.66,60,7.7,4.6609855e+20,Normal,58.4294110861177,64.6346242973217,1.10620016693405,307.31,55.5,273.62,1.35,2.16,9.4,0.183828267416508,170476165141.61,0.279283990683892
732875,-9.25,107.41,12,7.7,4.6129735e+20,Reverse,83.7943906158928,226.454270731461,2.70249916571994,290,10,102,1.55,9.1,0.5,0.371614341838442,42529976908.6749,0.301392869211768
729501,-12.58,166.68,28,7.69,4.4637667e+20,Reverse,58.6068024610004,92.7134947009472,1.58195790945331,178,63,122,2.05,5.3,4.4,0.246713267365926,171373563846.73,0.279489952450242
729677,-22.1,-176.77,167,7.69,4.4966202e+20,Normal,57.3327412725075,53.4681183060499,0.932593089381708,16,81,255,1.54,2.41,8,0.0444179339433823,173479597703.941,0.279915530395332
730088,-2.07,124.89,16,7.69,4.4547768e+20,StikeSlip,32.7172660412537,97.8409175610619,2.99049796635491,196,65,210,2.2,2.32,5.9,3.67189680017926,85013607402.9116,0.307070619251123
733851,-23.043,-174.66,31,7.69,4.4374496e+20,Reverse,40.765076520319,62.7084362314034,1.53828820117992,204.63,50,97.74,2.05,2.1,18,1.20386974831876,171551790881.798,0.279570644638117
733360,-22.25,-69.89,40,7.68,4.334064e+20,Reverse,87.941535482749,124.843536361686,1.41961970161615,358,23,98,2.35,3.87,2.7,0.368093839777059,99332462724.0499,0.254454707993982
728795,-23.01,169.89,20,7.65,3.8914862e+20,Normal,49.0489381148976,87.9410334188644,1.79292430781808,284,38,261,2.3,2.65,4.1,0.683738866064435,111142334373.717,0.283035790189813
733776,-0.51,132.78,17,7.65,3.8738499e+20,Reverse,70.1536543440756,101.033524370937,1.44017478940452,94,28,48,1.34,1.69,3.6,0.749666779430282,88698483206.8041,0.258589336162244
732564,-4.54,153.47,90,7.63,3.6948613e+20,Reverse,90.8907455636505,111.156230831202,1.22296533207948,318.61,60.26,89.17,1.97,3.61,1.3,0.0922204515671752,172821445288.876,0.279487037997594
736689,-43.4167,-73.8972,30,7.61,3.3952873e+20,Reverse,49.4760541468294,86.8942914714596,1.75628984505483,356,16,83,2.34,2.58,7.9,0.155200398532907,131690980118.667,0.276589724810237
727809,11.4582,-87.62,9.5,7.61,3.3846163e+20,Reverse,63.632295351374,296.884177651816,4.66562106572517,303,15,90,1.41,10.46,0.5,0.918601908404533,26778927435.1317,0.288391478724996
730877,23.42,70.23,16,7.61,3.4296296e+20,Reverse,25.5529721392433,83.5874821899531,3.27114520121057,65.59,63.73,59.84,1.8,2.49,7,3.83119616156344,93756957836.7649,0.256255548839548
730573,22.34,143.73,126.5,7.6,3.2737879e+20,Normal,29.673046843111,39.2426269135463,1.3225007570349,112.46,85.3,273.53,0.9,2,26,0.298614498029145,172821445288.877,0.279487037997594
734053,-13.01,166.51,45,7.6,3.2977165e+20,Reverse,59.2686162671563,74.0238811037649,1.24895578412188,343.58,46,86.84,1.91,4.08,4.8,0.112205020067211,168201541088.054,0.279828602042596
726941,1.16,122.84,26,7.59,3.210111e+20,Reverse,85.8788358181019,103.346306975696,1.20339669245856,112,31,122,2.31,2.31,2.2,0.369802828670757,127358041140.368,0.275304841272014
731039,-17.54,-72.08,33,7.59,3.2067802e+20,Reverse,84.6643086849462,110.562487432164,1.30589252011246,304,26,51.59,1.83,2.74,3.4,0.0729931120025577,140576718286.652,0.278637537260455
735112,10.8278,126.6774,34.9,7.59,3.181638e+20,Reverse,59.5278806448186,58.2023665573134,0.977732886285436,345.75,45.77,63.81,2.22,2.11,5.9,0.3159938407163,166782033640.269,0.280474768146541
730383,23.834,120.813,10,7.58,3.0437142e+20,Reverse,45.3259595351098,105.859601573811,2.33551815912052,3,30,57,1.32,2.92,3.7,3.77382680197336,63543073059.1697,0.241849633294346
732787,60.95,167.09,22,7.58,3.1041452e+20,Reverse,37.8106733502734,137.567826142555,3.63833314652039,206.51,40.34,76.49,1.85,2.49,3.9,0.712131665567515,98973816744.4507,0.263830059114278
727310,9.68,-83.08,10,7.57,2.98336e+20,Reverse,56.0106645067242,122.627834581841,2.18936582277325,103,25,58,2.14,2.88,5.2,0.331840106897795,98373704421.9097,0.260841870520753
732593,34.493,73.629,11,7.57,2.954664e+20,StikeSlip,31.4564656463582,68.9130591152266,2.19074386455126,320,29,140,2.15,2.13,11,10.7812110960237,82165263157.8948,0.242105263157895
